decision_group_id,url,field,current_claim,claim_type,business_fact_confirmed,risk,recommended_action_after_decision
BD-02,/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์,title,รับซื้อ ทีวีและโทรทัศน์ กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์,h1,รับซื้อ ทีวีและโทรทัศน์ กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์,description,รับซื้อ ทีวีและโทรทัศน์ ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-ขอนแก่น,title,รับซื้อ ทีวีและโทรทัศน์ ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-ขอนแก่น,h1,รับซื้อ ทีวีและโทรทัศน์ ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-ขอนแก่น,description,รับซื้อ ทีวีและโทรทัศน์ ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-02,/รับซื้อ/รับซื้อทีวี-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์,title,รับซื้อ โดรนและกล้อง Action Cam กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์,h1,รับซื้อ โดรนและกล้อง Action Cam กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์,description,รับซื้อ โดรนและกล้อง Action Cam ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-ขอนแก่น,title,รับซื้อ โดรนและกล้อง Action Cam ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-ขอนแก่น,h1,รับซื้อ โดรนและกล้อง Action Cam ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-ขอนแก่น,description,รับซื้อ โดรนและกล้อง Action Cam ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-03,/รับซื้อ/รับซื้อโดรน-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-กาฬสินธุ์,title,รับซื้อ อุปกรณ์ Network และ Switch กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-กาฬสินธุ์,h1,รับซื้อ อุปกรณ์ Network และ Switch กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-กาฬสินธุ์,description,รับซื้อ อุปกรณ์ Network และ Switch ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-ขอนแก่น,title,รับซื้อ อุปกรณ์ Network และ Switch ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-ขอนแก่น,h1,รับซื้อ อุปกรณ์ Network และ Switch ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-ขอนแก่น,description,รับซื้อ อุปกรณ์ Network และ Switch ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-04,/รับซื้อ/รับซื้ออุปกรณ์-network-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-กาฬสินธุ์,title,รับซื้อ Server และตู้ Rack กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-กาฬสินธุ์,h1,รับซื้อ Server และตู้ Rack กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-กาฬสินธุ์,description,รับซื้อ Server และตู้ Rack ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-ขอนแก่น,title,รับซื้อ Server และตู้ Rack ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-ขอนแก่น,h1,รับซื้อ Server และตู้ Rack ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-ขอนแก่น,description,รับซื้อ Server และตู้ Rack ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-05,/รับซื้อ/รับซื้อ-server-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์,title,รับซื้อ UPS และเครื่องสำรองไฟ กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์,h1,รับซื้อ UPS และเครื่องสำรองไฟ กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์,description,รับซื้อ UPS และเครื่องสำรองไฟ ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-ขอนแก่น,title,รับซื้อ UPS และเครื่องสำรองไฟ ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-ขอนแก่น,h1,รับซื้อ UPS และเครื่องสำรองไฟ ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-ขอนแก่น,description,รับซื้อ UPS และเครื่องสำรองไฟ ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-06,/รับซื้อ/รับซื้อ-ups-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,title,รับซื้อ อุปกรณ์ไอทีบริษัทและประมูล กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,h1,รับซื้อ อุปกรณ์ไอทีบริษัทและประมูล กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,description,รับซื้อ อุปกรณ์ไอทีบริษัทและประมูล ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,meta+h1,mentions auction/bulk,AUCTION,partial — store facts confirmed; service scope UNKNOWN,high,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,meta+h1,mentions business customer,BUSINESS_CUSTOMER,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,title,รับซื้อ อุปกรณ์ไอทีบริษัทและประมูล ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,h1,รับซื้อ อุปกรณ์ไอทีบริษัทและประมูล ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,description,รับซื้อ อุปกรณ์ไอทีบริษัทและประมูล ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,meta+h1,mentions auction/bulk,AUCTION,partial — store facts confirmed; service scope UNKNOWN,high,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,meta+h1,mentions business customer,BUSINESS_CUSTOMER,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-07,/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
