fix_id,url,root_cause,recommended_action,source_file_to_change,redirect_source,redirect_target,status_code,restore_route,sitemap_action,canonical_action,internal_link_action,encoding_action,gsc_action,risk,rollback,owner_approval_required
F11,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-อุบลราชธานี,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-hdd-อุบลราชธานี,/รับซื้อ/รับซื้อ-ssd-อุบลราชธานี,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F12,https://amphon.co.th/บริการ/รับซื้อสินค้าไอที,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/บริการ/รับซื้อสินค้าไอที,/รับซื้อสินค้าไอที,308,no,none,none,review content mentions,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F13,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-บึงกาฬ,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-hdd-บึงกาฬ,/รับซื้อ/รับซื้อ-ssd-บึงกาฬ,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F14,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ร้อยเอ็ด,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อเลนส์-ร้อยเอ็ด,/บริการ/รับซื้อเลนส์กล้อง,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F15,https://amphon.co.th/blog/how-to-reset-playstation,"308→/blog works (ASCII Location). Article retired. Owner: keep redirect, KEEP_404_GONE, or restore article.",Owner choose: keep 308→/blog | KEEP_404_GONE | restore article,none (audit-only),/blog/how-to-reset-playstation,/blog,308,no,none,none,none,none,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F16,https://amphon.co.th/blog/check-nintendo-joycon,"308→/blog works (ASCII Location). Article retired. Owner: keep redirect, KEEP_404_GONE, or restore article.",Owner choose: keep 308→/blog | KEEP_404_GONE | restore article,none (audit-only),/blog/check-nintendo-joycon,/blog,308,no,none,none,none,none,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F17,https://amphon.co.th/บริการ/รับซื้อ-storage-nas,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/บริการ/รับซื้อ-storage-nas,/บริการ/รับซื้อ-nas,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F18,https://amphon.co.th/บริการ/รับซื้อ-gopro,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/บริการ/รับซื้อ-gopro,/บริการ/รับซื้อ-gopro-action-camera,308,no,none,none,review content mentions,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F19,https://amphon.co.th/บริการ/รับซื้อเลนส์,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/บริการ/รับซื้อเลนส์,/บริการ/รับซื้อเลนส์กล้อง,308,no,none,none,review content mentions,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F20,https://amphon.co.th/บริการ/รับซื้อ-hdd,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/บริการ/รับซื้อ-hdd,/บริการ/รับซื้อ-ssd,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
